family,model,n,n_clusters,tep_mean,ci_low,ci_high,tep_median,bootstrap,n_boot,seed,source,level,model_full,problem_id,tep,cci,inject_at_step,cluster_id
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_043,0.0,1.0,1,GSM_043
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_044,1.0,0.3333,1,GSM_044
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_045,0.0,0.5,2,GSM_045
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_046,0.5,0.6667,1,GSM_046
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_047,1.0,0.3333,3,GSM_047
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_048,1.0,0.1667,3,GSM_048
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_049,1.0,0.3333,4,GSM_049
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_050,0.5,0.4286,3,GSM_050
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_051,0.5,0.25,2,GSM_051
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_052,0.0,0.0,1,GSM_052
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_053,1.0,0.0,6,GSM_053
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_054,1.0,0.0,3,GSM_054
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_055,0.5,0.1429,3,GSM_055
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_056,0.6,0.4444,4,GSM_056
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_057,0.6667,0.7273,5,GSM_057
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_058,0.0,0.2857,3,GSM_058
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_059,1.0,0.0,2,GSM_059
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_060,1.0,0.25,4,GSM_060
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_061,1.0,0.4,2,GSM_061
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_062,0.0,0.2,2,GSM_062
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_063,0.5,0.0,2,GSM_063
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_064,1.0,0.6667,1,GSM_064
